Area,Housing units 2011,Housing units 2021,Population-Total 2011,Population-Total 2021
Pano Polemidia,1272,1337,3470,3419
Ypsonas Municipality,3777,4968,11117,13966
Kato Polemidia Municipality,8091,8869,22369,23231
Palodeia,548,693,1568,2115
Paramytha,251,295,569,710
Spitali,147,163,316,346
Fasoula Lemesou,274,378,560,730
Mathikoloni,90,92,174,200
Gerasa,82,82,69,81
Apsiou,133,120,208,252
Apesia,271,354,474,590
Korfi,90,121,199,273
Limnatis,277,308,314,303
Kapileio,65,87,34,62
Mouttagiaka,1290,1700,2939,3243
Armenochori,81,74,218,211
Foinikaria,182,227,339,460
Akrounta,209,285,455,521
Agios Tychon,3211,4050,3455,4413
Parekklisia,1377,1821,2738,3489
Pentakomo,358,480,644,764
Monagroulli,242,432,536,790
Moni,336,436,622,938
Pyrgos Lemesou,1477,1806,2363,3020
Asgata,212,226,417,465
Vasa Kellakiou,44,73,73,73
Sanida,26,49,42,64
Prastio Kellakiou,44,81,103,107
Klonari,11,12,18,20
Vikla,2,2,1,1
Kellaki,203,248,299,315
Akapnou,21,57,20,40
Eptagoneia,176,183,353,316
Dierona,110,140,192,191
Arakapas,203,201,307,290
Agios Pavlos,84,83,135,119
Agios Konstantinos,78,91,137,170
Sykopetra,89,67,120,106
Louvaras,240,249,363,365
Kalo Chorio Lemesou,392,415,497,502
Zoopigi,139,134,140,149
Akrotiri,378,404,870,933
Asomatos Lemesou,290,356,726,893
Tserkezoi,21,19,50,52
Trachoni Lemesou,1343,1604,3952,4569
Kolossi,2058,2292,5651,6478
Erimi,986,1238,2432,3156
Episkopi Lemesou,1418,1594,3681,4111
Kantou,146,191,349,412
Sotira Lemesou,70,128,143,234
Prastio Avdimou,149,174,245,260
Paramali,102,112,220,230
Avdimou,212,241,535,563
Platanisteia,68,61,45,34
Agios Thomas,57,59,50,41
Alektora,56,45,64,55
Anogyra,316,327,301,326
Pissouri,2059,2150,1819,2038
Souni-Zanakia,515,751,837,1245
Alassa,105,109,282,285
Kato Kivides,4,0,5,0
Pano Kivides,261,363,707,900
Agios Amvrosios Lemesou,177,207,323,350
Agios Therapon,201,235,125,206
Lofou,462,492,46,79
Pachna,525,542,865,850
Agios Georgios Lemesou,135,180,111,128
Doros,109,132,135,135
Laneia,286,353,281,385
Silikou,172,220,137,149
Monagri,114,161,175,201
Trimiklini,404,436,307,353
Agios Mamas,167,218,114,113
Kouka,53,66,27,14
Moniatis,517,582,275,337
Dora,236,253,145,129
Gerovasa (Trozena),3,1,0,0
Arsos Lemesou,368,354,202,179
Kissousa,12,15,6,7
Malia,128,162,64,65
Vasa Koilaniou,335,289,163,169
Vouni,298,366,149,155
Pera Pedi,335,361,120,141
Mandria Lemesou,254,300,107,117
Potamiou,93,104,36,38
Omodos,336,458,322,334
Koilani,405,478,216,178
Agios Dimitrios,103,120,54,39
Palaiomylos,87,101,20,14
Prodromos,297,271,123,75
Kaminaria,186,151,44,19
Treis Elies,139,122,25,36
Lemithou,214,267,88,72
Kato Platres (Tornarides),319,330,148,123
Pano Platres,849,768,239,200
Foini,370,444,391,347
Amiantos,261,287,228,179
Troodos,N.A.,38,N.A.,17
Agios Theodoros Lemesou,282,227,65,63
Agios Ioannis Lemesou,330,358,339,314
Kato Mylos,77,70,50,57
Potamitissa,106,101,62,65
Dymes,111,125,165,151
Pelendri,713,801,1074,1026
Agros,740,858,806,844
Agridia,160,183,104,108
Chandria,207,231,162,128
Kyperounta,947,1029,1516,1372
Pafos District,66168,74498,88276,100175
Pafos Municipality,21146,24003,32892,37297
Geroskipou Municipality,3734,3990,7878,8355
Konia,1089,1324,2209,2754
Agia Marinouda,141,282,266,425
Acheleia,58,79,145,137
Chlorakas,4252,4830,5356,6421
Lempa,172,173,506,454
Empa,2215,2568,4855,5505
Tremithousa,736,998,1041,1171
Mesa Chorio,388,502,586,868
Mesogi,773,852,1689,1856
Tala,2602,2799,2695,3100
Kissonerga,1548,1737,2004,2292
Kouklia Pafou,1315,1613,892,1211
Mandria Pafou,883,1084,893,1114
Nikokleia,73,85,121,133
Souskiou,8,13,10,8
Timi,499,471,1220,1063
Agia Varvara Pafou,80,92,172,185
Anarita,672,691,876,1006
Marathounta,198,265,309,325
Armou,362,419,600,663
Episkopi Pafou,170,196,220,205
Nata,173,168,181,151
Choletria,150,144,264,256
Axylou,48,32,61,64
Eledio,52,49,44,35
Tsada,820,927,1043,1180
Koili,344,379,466,559
Stroumpi,359,451,540,600
Polemi,479,580,848,870
Kallepeia,261,287,326,343
Letymvou,243,276,249,240
Pitargou,0,3,0,0
Kourdaka,5,4,7,6
Lemona,76,73,51,43
Choulou,209,223,147,120
Akoursos,10,49,22,36
Kathikas,442,478,438,387
Pegeia Municipality,6935,8362,3953,6945
Pano Archimandrita,63,57,43,26
Fasoula Pafou,21,24,56,43
Mousere,9,11,2,1
Mamonia,48,47,51,48
Agios Georgios Pafou,39,37,101,80
Stavrokonnou,63,57,56,51
Prastio Pafou,18,17,8,7
Trachypedoula,102,79,64,43
Kelokedara,203,176,193,139
Salamiou,259,296,265,195
Kidasi,36,37,11,18
Kedares,193,126,80,39
Mesana,99,101,31,21
Praitori,81,134,23,28
Filousa Kelokedaron,66,69,17,15
Arminou,137,101,24,31
Agios Nikolaos Pafou,62,63,61,60
Agios Ioannis Pafou,172,119,29,38
Amargeti,194,133,209,162
Agia Marina Kelokedaron,86,91,37,37
Pentalia,109,76,63,61
Faleia,29,21,2,2
Galataria,78,37,56,45
Koilineia,93,17,39,25
Vretsia,10,2,1,0
Statos-Agios Fotios,316,258,243,193
Lapithiou,42,29,0,0
Mamountali,20,18,18,2
Pano Panagia,403,498,481,392
Asprogia,50,43,60,56
Psathi,56,55,110,101
Agios Dimitrianos,97,109,91,71
Kannaviou,87,69,175,131
Thrinia,62,61,55,44
Milia Pafou,25,21,14,6
Kritou Marottou,87,66,85,69
Fyti,163,148,150,76
Lasa,68,105,67,57
Drymou,97,113,110,105
Simou,135,144,185,207
Anadiou,54,54,17,17
Sarama,1,2,2,0
Evretou,1,0,3,0
Filousa Chrysochous,63,69,31,28
Kios,0,1,0,0
Meladeia,39,11,17,19
Melandra,1,0,2,0
Lysos,268,244,205,172
Peristerona Pafou,196,205,302,290
Theletra,160,143,269,155
Giolou,373,408,762,814
Pano Akourdaleia,67,76,44,34
Miliou,59,68,89,57
Kato Akourdaleia,57,64,65,52
Tera,81,71,36,18
Kritou Tera,163,205,86,68
Skoulli,52,64,65,73
Choli,56,49,83,74
Loukrounou,6,7,4,13
Karamoullides,12,3,33,4
Chrysochou,53,57,132,116
Polis Chrysochous Municipality,2537,2785,2018,2573
Neo Chorio Pafou,748,896,519,522
Goudi,176,202,204,231
Kato Arodes,84,91,39,46
Pano Arodes,220,240,135,137
Ineia,370,265,385,319
Drouseia,412,576,405,473
Fasli,3,4,0,0
Androlikou,25,30,34,28
Pelathousa,60,60,57,53
Kynousa,74,86,71,77
Makounta,42,38,116,71
Argaka,899,958,1078,1081
Gialia,169,177,202,182
Agia Marina Chrysochous,334,376,647,591
Nea Dimmata,59,69,50,55
Pomos,399,519,448,450
Steni,91,102,173,161
Agios Isidoros,6,7,7,13
,,,,
"N.A.: Not applicable
a. The communities Geri (1024), Tseri (1225), Sotira Ammochostou (3103), Livadia Larnakas (4011) ___ Ypsonas (5021) have been declared municipalities in November 2011.
b. The communities  Dromolaxia and Meneou have merged into the municipality, namely Dromolaxia - Meneou in November 2011.
c. A new community (Troodos) with geocode 5356 has been established in 2015. In 2011 this community was included in Pano Platres.",,,,
,,,,
Latest update:,,,,
20230804 08:00,,,,
,,,,
Source:,,,,
Statistical Service of Cyprus,,,,
,,,,
Contact:,,,,
"Loukia Makri, Senior Statistics Officer, Tel.: 22602150, Email: lmakri@cystat.mof.gov.cy",,,,
,,,,
Copyright,,,,
,,,,
Units:,,,,
Number,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Internal reference code:,,,,
1800910E,,,,
